City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Canoinhas,BR,-26.1772,-50.39,56.53,80,6,1.16
93,Logrono,ES,42.4667,-2.45,49.42,81,0,9.22
94,Mar Del Plata,AR,-38.0023,-57.5575,60.13,74,75,11.5
95,Victoria,HK,22.2855,114.1577,66.25,91,100,8.99
96,Rendsburg,DE,54.3,9.6667,34.14,93,100,3.44
97,Hermanus,ZA,-34.4187,19.2345,70.81,90,99,9.28
98,Pucallpa,PE,-8.3791,-74.5539,82.44,74,40,3.44
99,Tocopilla,CL,-22.092,-70.1979,68.9,75,17,2.35
100,Cayenne,GF,4.9333,-52.3333,73.44,100,75,2.3
101,Mahon,ES,39.8885,4.2658,59.56,82,20,13.8
102,Saint George,US,37.1041,-113.5841,41.59,48,0,1.99
103,Mahebourg,MU,-20.4081,57.7,77.29,69,40,11.5
104,Porto Belo,BR,-27.1578,-48.5531,75.15,81,14,8.77
105,Toamasina,MG,-18.1667,49.3833,73.71,90,86,3.74
106,Grindavik,IS,63.8424,-22.4338,21.67,63,20,17.27
107,Limeil-Brevannes,FR,48.7448,2.4871,29.89,88,0,8.05
108,Veraval,IN,20.9,70.3667,76.12,57,100,8.46
109,Chimbote,PE,-9.0853,-78.5783,68.77,84,100,5.77
110,Columbia,US,34.0007,-81.0348,42.48,91,0,3.44
111,Karasburg,NA,-28.0167,18.75,63.12,74,22,12.26
112,Ogbomosho,NG,8.133,4.25,72.73,80,92,2.73
113,Venice,US,27.0998,-82.4543,70.0,95,75,8.01
114,Cape Canaveral,US,28.4058,-80.6048,71.01,88,75,12.66
115,Matagami,CA,49.7502,-77.6328,30.4,86,100,14.27
116,Kogon,UZ,39.7228,64.5517,32.04,86,0,0.0
117,Baghramyan,AM,40.1934,44.3683,34.59,93,100,0.0
118,Leh,IN,34.1667,77.5833,15.82,43,83,1.81
119,Zaragoza,ES,41.6561,-0.8773,51.03,83,75,1.99
120,Muros,ES,42.7762,-9.0603,51.1,96,100,10.04
121,Naryan-Mar,RU,67.6713,53.087,16.14,86,100,21.18
122,Dingle,PH,10.9995,122.6711,83.98,74,100,14.34
123,Ashqelon,IL,31.6693,34.5715,58.82,83,0,5.21
124,Killybegs,IE,54.6333,-8.45,39.88,72,100,14.07
125,Kubuta,SZ,-26.8833,31.4833,68.43,94,37,1.34
126,Erzincan,TR,39.75,39.5,40.3,93,75,1.14
127,Hambantota,LK,6.1241,81.1185,77.68,76,64,10.16
128,Normandin,CA,48.8333,-72.5321,25.34,86,100,8.52
129,Buraydah,SA,26.326,43.975,59.77,55,46,9.64
130,Dudinka,RU,69.4058,86.1778,2.62,91,100,23.69
131,Gornyy,RU,55.1153,83.9059,-13.16,98,46,4.12
132,Banda Aceh,ID,5.5577,95.3222,81.28,78,53,2.04
133,Wattegama,LK,6.7989,81.4808,78.85,69,25,7.74
134,Sibi,PK,29.5448,67.8764,59.86,18,0,1.83
135,Sidi Ali,DZ,36.0998,0.4206,55.11,76,98,17.98
136,Palmeiras De Goias,BR,-16.805,-49.9258,67.95,98,100,3.91
137,Sur,OM,22.5667,59.5289,73.08,53,2,9.98
138,Wlodawa,PL,51.55,23.55,23.49,94,100,7.85
139,Arrecife,ES,28.963,-13.5477,60.78,88,0,8.05
140,Eydhafushi,MV,5.1033,73.0708,80.51,73,25,5.12
141,Clyde River,CA,70.4692,-68.5914,-11.04,82,2,5.95
142,Tiznit,MA,29.5833,-9.5,56.77,81,85,7.2
143,Inirida,CO,3.8653,-67.9239,74.8,89,20,3.02
144,Kashi,CN,39.4547,75.9797,22.95,55,0,4.45
145,Panaba,MX,21.2833,-88.2667,74.71,85,30,4.76
